Salary Date,Salary Month,Salary ID,Salary Status,Employee ID,Employee Name,Gender,Generation,Joining,Termination,Term Category,Term Reason,Term Sub Reason,Employee Grade,Location,Career Bucket,Age Bucket,Manager ID,Manager Name,Performance,Talent,Department,active_months
2011-05-15,2011-05,100019_2011-05,Inactive,100019,Name_100019,Female,Millennials,2006-06-01,2011-05-01,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,102292,Name_102292,E,,AC,59.0
2011-05-15,2011-05,100020_2011-05,Inactive,100020,Name_100020,Female,Millennials,2011-01-01,2011-05-15,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,31 to 35,26 To 30,100411,Name_100411,E,,AD,4.0
2011-05-15,2011-05,100043_2011-05,Inactive,100043,Name_100043,Male,Millennials,2009-02-01,2011-04-29,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,102304,Name_102304,E,,AG,26.0
2011-05-15,2011-05,100063_2011-05,Inactive,100063,Name_100063,Male,Gen X,2000-10-01,2011-04-21,VOLUNTARY,Voluntary Termination,Career Growth,Senior,Bengaluru,Above 35,36 T0 40,102324,Name_102324,E,,AI,126.0
2011-05-15,2011-05,100074_2011-05,Inactive,100074,Name_100074,Male,Millennials,2000-11-01,2011-05-11,VOLUNTARY,Voluntary Termination,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,100619,Name_100619,E,,AI,126.0
2011-05-15,2011-05,100106_2011-05,Inactive,100106,Name_100106,Male,Millennials,2001-12-01,2011-04-20,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100846,Name_100846,E,,AI,112.0
2011-05-15,2011-05,100110_2011-05,Inactive,100110,Name_100110,Male,Millennials,1999-11-01,2011-04-20,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,102324,Name_102324,E,,AI,137.0
2011-05-15,2011-05,100119_2011-05,Inactive,100119,Name_100119,Male,Millennials,2010-03-01,2011-04-16,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100598,Name_100598,E,,AI,13.0
2011-05-15,2011-05,100172_2011-05,Inactive,100172,Name_100172,Male,Millennials,2007-10-01,2011-04-24,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,Below 30,21 To 25,100726,Name_100726,E,,AI,42.0
2011-05-15,2011-05,100205_2011-05,Inactive,100205,Name_100205,Male,Millennials,2007-10-01,2011-05-11,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,Below 30,21 To 25,100667,Name_100667,E,,AI,43.0
2011-05-15,2011-05,100211_2011-05,Inactive,100211,Name_100211,Male,Gen X,2003-10-01,2011-04-20,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101059,Name_101059,E,,AO,90.0
2011-05-15,2011-05,100212_2011-05,Inactive,100212,Name_100212,Male,Gen X,2005-01-01,2011-05-15,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Above 35,36 T0 40,101321,Name_101321,E,,AP,76.0
2011-05-15,2011-05,100213_2011-05,Inactive,100213,Name_100213,Male,Millennials,2005-10-01,2011-04-24,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,101379,Name_101379,E,,AQ,66.0
2011-05-15,2011-05,100218_2011-05,Inactive,100218,Name_100218,Male,Millennials,2006-04-01,2011-05-15,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,102350,Name_102350,E,,AS,61.0
2011-06-12,2011-06,100192_2011-06,Inactive,100192,Name_100192,Male,Millennials,2004-01-01,2011-05-31,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,100188,Name_100188,E,,AC,88.0
2011-06-12,2011-06,100224_2011-06,Inactive,100224,Name_100224,Male,Millennials,2008-04-01,2011-05-28,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,31 to 35,26 To 30,100416,Name_100416,E,,AD,37.0
2011-06-12,2011-06,100225_2011-06,Inactive,100225,Name_100225,Female,Millennials,2006-07-01,2011-06-11,VOLUNTARY,Voluntary Termination,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,100439,Name_100439,E,,AI,59.0
2011-06-12,2011-06,100228_2011-06,Inactive,100228,Name_100228,Male,Millennials,2005-11-01,2011-06-11,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,101040,Name_101040,E,,AU,67.0
2011-06-12,2011-06,100229_2011-06,Inactive,100229,Name_100229,Male,Gen X,2005-09-01,2011-06-02,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,41 T0 45,100254,Name_100254,E,,AV,69.0
2011-06-12,2011-06,100231_2011-06,Inactive,100231,Name_100231,Male,Millennials,2010-09-01,2011-05-28,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,21 To 25,101571,Name_101571,E,,AS,8.0
2011-07-15,2011-07,100233_2011-07,Inactive,100233,Name_100233,Male,Gen X,2010-04-01,2011-07-04,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,31 To 35,100543,Name_100543,E,,AW,15.0
2011-07-15,2011-07,100234_2011-07,Inactive,100234,Name_100234,Male,Millennials,2009-08-01,2011-07-11,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100620,Name_100620,E,,AI,23.0
2011-07-15,2011-07,100236_2011-07,Inactive,100236,Name_100236,Female,Millennials,2007-12-01,2011-06-16,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,26 To 30,100667,Name_100667,E,,AI,42.0
2011-07-15,2011-07,100258_2011-07,Inactive,100258,Name_100258,Male,Millennials,2004-10-01,2011-07-04,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Below 30,26 To 30,100754,Name_100754,E,,AI,81.0
